CustID,Year,Month,count,sum
10001,2020,4,1,34343.61365444091
10001,2020,12,2,117447.6026724823
10001,2021,1,1,36737.66466867341
10001,2021,2,1,56753.39540360191
10001,2021,6,1,56272.91138792725
10001,2021,8,1,57708.801712752065
10001,2021,9,1,65864.78974371799
10001,2021,10,1,30904.676920616123
10002,2020,9,1,28214.037408079756
10002,2021,1,1,50437.44127044865
10002,2021,7,1,68115.40910770162
10002,2021,10,1,57963.040494274836
10002,2021,11,3,160396.6058456174
10003,2020,1,1,86318.58078634203
10003,2020,2,1,36446.1742958729
10003,2020,8,1,33535.10930716789
10003,2020,10,2,65892.51432132984
10003,2021,1,1,30758.239217424423
10003,2021,3,1,48607.74052652038
10003,2021,4,1,52208.762654967024
10003,2021,8,1,28621.427498290006
10003,2021,11,2,82235.21048636152
10003,2021,12,1,72454.7504804219
10004,2020,4,1,55879.566803306734
10004,2020,8,1,25808.815531779193
10004,2020,9,1,34727.09290221282
10004,2020,10,1,29503.73026732906
10004,2021,1,2,85415.54991762008
10004,2021,2,1,22426.220013604277
10004,2021,5,1,39364.52347451733
10004,2021,6,1,63937.27381103048
10004,2021,9,1,70714.98315862665
10005,2020,4,2,70187.98846721894
10005,2020,11,1,84561.13130157997
10005,2021,5,3,121716.77349339987
10005,2021,11,1,29714.935261993942
10006,2020,2,1,36450.852273956756
10006,2020,4,1,60838.71692785817
10006,2020,7,1,62040.260265954406
10006,2020,11,1,27661.27234550171
10006,2020,12,1,56649.1716789032
10006,2021,5,1,28124.216374054162
10006,2021,8,1,45596.43948705765
10006,2021,9,1,31832.609528239394
10006,2021,12,1,66713.51292757224
10007,2020,11,1,36953.66020835066
10007,2021,3,2,76739.01165968738
10007,2021,4,2,81280.72768466234
10007,2021,7,1,49879.07616478302
10007,2021,9,1,49990.24069200846
10007,2021,12,1,50246.25473319151
10008,2020,7,1,49561.68794728913
10008,2020,9,1,28582.013757277105
10008,2020,10,1,30054.592748364852
10008,2021,1,1,28346.618218323587
10008,2021,3,1,39865.96948968583
10008,2021,6,2,60052.720554665124
10008,2021,10,1,26870.21785040562
10008,2021,12,1,64448.648313071746
10009,2020,2,1,53288.63294303196
10009,2020,4,1,26732.889860721174
10009,2020,7,1,30048.096388107835
10009,2020,10,1,48523.64999134436
10009,2020,11,1,32930.01504171208
10009,2021,1,2,84029.62547168884
10009,2021,2,1,50648.88815805715
10009,2021,3,1,57762.41971117825
10009,2021,4,2,66981.3286703596
10009,2021,6,1,56715.504478186966
10009,2021,7,1,30496.24735880774
10009,2021,11,2,78926.09694235395
10010,2020,8,1,50198.851840317046
10010,2020,9,1,64452.466521484115
10010,2020,10,1,46902.00503098966
10010,2020,12,1,62112.20811660285
10010,2021,2,1,41667.0822309937
10010,2021,3,2,105502.00805134681
10010,2021,4,1,49169.1736197869
10010,2021,6,2,80087.10193086736
10010,2021,9,1,38104.99969377661
10011,2020,5,2,106090.7365360724
10011,2020,9,1,35821.12469863494
10011,2020,11,1,39819.80023037516
10011,2021,1,1,31130.156232038364
10011,2021,2,1,26087.296604758354
10011,2021,3,2,77419.10351153986
10011,2021,7,1,31514.326242838768
10011,2021,8,1,34581.038349663286
10011,2021,9,2,75345.98979879363
10012,2020,5,1,31165.66503835853
10012,2020,11,1,27235.261695288922
10012,2021,2,1,61249.46871285448
10012,2021,3,2,105330.51304658476
10012,2021,8,2,60722.08979420242
10012,2021,10,1,35695.18632812476
10012,2021,12,2,67865.82798024044
10013,2020,8,1,24639.581446574393
10013,2020,10,1,27986.036200090002
10013,2020,12,1,31081.71528040898
10013,2021,2,1,44925.01902962214
10013,2021,4,2,80590.18518470474
10013,2021,8,1,87891.2625786061
10013,2021,11,1,72471.91439669539
10014,2020,3,1,33152.4044049764
10014,2020,9,1,31408.554342432773
10014,2020,10,1,66815.66633332003
10014,2020,11,1,40651.03676307897
10014,2020,12,2,62917.0561650834
10014,2021,1,2,68752.83497543828
10014,2021,3,1,33022.97979214635
10014,2021,7,1,62829.607238637356
10014,2021,8,3,174392.44806760276
10014,2021,11,1,31780.808384229003
10015,2020,6,1,25433.76919092162
10015,2020,12,1,30831.932461306867
10015,2021,5,1,34672.97217228467
10015,2021,6,2,97063.84961378673
10015,2021,8,2,102733.42305670178
10015,2021,9,1,26197.432388709836
10016,2020,2,1,60465.938868003206
10016,2020,8,1,34124.73245434474
10016,2021,2,1,37656.68891824449
10016,2021,5,1,34479.55853052551
10016,2021,6,1,29348.420955080037
10016,2021,8,1,73407.22122033269
10016,2021,12,2,98161.09997501082
10017,2020,6,1,42839.961611349005
10017,2020,8,1,63688.4147706679
10017,2021,1,1,37391.57161018203
10017,2021,5,1,55769.28906133279
10017,2021,7,1,31585.54048028135
10017,2021,10,1,42271.6812788671
10018,2020,1,1,56721.64059743367
10018,2020,4,1,48279.41245391137
10018,2021,1,1,31948.83561673089
10018,2021,2,1,60906.61694760259
10018,2021,3,1,32533.22237202531
10018,2021,6,3,144538.18193408675
10018,2021,11,3,144475.6022749556
10019,2020,11,1,32613.448811762424
10019,2020,12,2,148894.06333701324
10019,2021,1,1,29392.440035431187
10019,2021,2,1,40923.215287450395
10019,2021,10,1,67231.29236777281
10019,2021,11,3,146482.63786634436
10019,2021,12,2,105623.37239946106
10020,2020,6,1,30727.926507923417
10020,2020,7,1,71719.7154428453
10020,2020,10,1,58841.67302094583
10020,2020,12,1,71248.45559229166
10020,2021,2,1,31616.16564814561
10020,2021,4,1,63435.64553336816
10020,2021,5,1,35822.97123199536
10020,2021,6,2,92009.32603537172
10020,2021,11,1,60631.39169541702
10021,2020,10,1,28755.925218251843
10021,2021,2,1,72342.78101316489
10021,2021,3,2,60466.09560884928
10021,2021,8,1,73486.1293474552
10021,2021,9,3,127238.71434510389
10022,2020,4,1,34808.8142522255
10022,2021,2,2,103281.54944233036
10022,2021,3,2,85610.47777529631
10022,2021,4,1,72593.30029158486
10022,2021,5,1,29649.1708298605
10022,2021,8,1,84518.78946764262
10022,2021,9,2,83037.90218156757
10022,2021,11,1,64542.10604987938
10022,2021,12,1,59631.039536022254
10023,2020,7,1,58065.29864560126
10023,2020,8,1,57116.65290987031
10023,2020,9,1,77185.11271935451
10023,2020,10,1,17543.10967503382
10023,2021,3,1,68560.47468884091
10023,2021,7,1,58929.56301823751
10023,2021,11,1,33363.46931586802
10024,2020,7,5,269276.0907435502
10024,2020,11,1,25191.04850650183
10024,2021,3,1,20553.385558026075
10024,2021,4,1,66561.93808074214
10024,2021,5,1,30525.903318354936
10024,2021,8,1,41337.95314063992
10024,2021,10,1,62891.17499477414
10024,2021,11,2,85557.98504754476
10024,2021,12,2,92495.33055502764
10025,2020,4,1,52360.29547185599
10025,2020,7,1,35601.95809861946
10025,2020,9,1,35339.41306273654
10025,2020,10,1,24978.477286845515
10025,2020,12,1,23341.589593816334
10025,2021,1,2,111813.3636513562
10025,2021,2,1,52515.24248007974
10025,2021,3,1,66843.12972841115
10025,2021,4,1,78814.46852931529
10025,2021,6,2,137719.26208570227
10025,2021,8,1,65120.18213258077
10025,2021,11,1,24972.490052762587
10025,2021,12,1,64459.46899236431
10026,2020,7,1,29252.63212816075
10026,2020,8,1,58259.39850659968
10026,2020,9,1,50319.33695612359
10026,2021,5,1,59210.99921694523
10026,2021,9,2,64079.16181072153
10026,2021,10,2,104772.99471496133
10026,2021,11,1,91650.56558062365
10026,2021,12,1,48662.42387613184
10027,2020,7,1,30157.608791858223
10027,2020,9,2,81447.02141709682
10027,2020,10,1,35886.389882234245
10027,2020,11,2,59352.92242455093
10027,2020,12,1,51629.635885785334
10027,2021,3,1,53601.18992332321
10027,2021,4,1,32664.58027221471
10027,2021,7,3,114633.74805517729
10027,2021,11,2,98891.70893295521
10027,2021,12,1,37162.65587185656
10028,2020,3,1,30293.94692993364
10028,2020,11,1,58014.88670901961
10028,2021,1,1,64624.31081974529
10028,2021,2,1,58772.86316631235
10028,2021,9,1,76371.85179474167
10028,2021,10,1,36996.81338791316
10028,2021,12,1,37640.22090788093
10029,2020,5,1,28154.82839546147
10029,2020,7,1,27907.875857468192
10029,2020,12,1,34749.78254072546
10029,2021,6,1,33825.9186556439
10029,2021,8,2,94417.65496952816
10029,2021,9,2,120833.96434285936
10029,2021,11,1,60805.547739080095
10029,2021,12,1,55914.063927442854
10030,2021,1,1,26233.562445667172
10030,2021,2,1,32189.778236672784
10030,2021,5,2,84830.93369114152
10030,2021,6,1,45790.92819600114
10030,2021,10,2,103593.1223244099
10030,2021,12,1,34935.21810447334
10031,2020,7,1,30915.70339584596
10031,2020,8,1,73990.55439738503
10031,2020,9,1,45817.01296643607
10031,2020,12,1,60252.322695404604
10031,2021,1,1,33244.055381284204
10031,2021,5,1,35169.00224758687
10031,2021,6,1,42591.998692070134
10031,2021,10,1,63309.004445165665
10031,2021,11,1,61781.31982462324
10032,2020,7,1,72161.02258591879
10032,2020,10,1,56478.29316559507
10032,2021,5,1,60954.915747574705
10032,2021,6,2,97245.00576220709
10032,2021,10,1,51849.79213447355
10032,2021,11,1,28306.14214657423
10032,2021,12,1,58319.37333511788
10033,2020,4,1,45903.137968127994
10033,2020,7,1,49926.63953002128
10033,2020,8,2,116077.59174635718
10033,2020,11,1,39943.82919413637
10033,2021,1,2,100959.05461237705
10033,2021,2,2,90969.75500044835
10033,2021,5,1,33869.264732901276
10033,2021,6,1,29574.65725873808
10033,2021,10,3,134365.81823892586
10034,2020,7,1,66495.86608439793
10034,2020,10,1,63375.97883113494
10034,2020,11,1,51284.61472981966
10034,2020,12,1,40745.99772481522
10034,2021,3,1,38822.84695664261
10034,2021,12,1,31054.142277579267
10035,2020,7,1,58380.935099326554
10035,2020,8,2,55989.67597061732
10035,2020,9,1,45044.15026950637
10035,2020,10,1,49263.59897988559
10035,2020,12,1,52705.66929701798
10035,2021,1,1,29383.994767390544
10035,2021,2,2,126334.7042448087
10035,2021,5,1,40336.597335995124
10035,2021,9,1,63190.89442628767
10035,2021,11,2,60823.31808606574
10036,2020,2,1,81572.46649695182
10036,2020,5,1,55341.03877494056
10036,2020,8,1,30982.878056630856
10036,2020,9,1,54274.83247823483
10036,2020,11,1,49972.935982627394
10036,2020,12,1,43465.56522039354
10036,2021,2,1,29172.859967717228
10036,2021,4,1,35605.7185914624
10036,2021,6,1,32446.450985270832
10036,2021,7,1,47560.379580423534
10036,2021,11,1,68261.61770458508
10037,2020,1,1,71603.3680415118
10037,2020,6,1,64370.483578254505
10037,2020,7,1,32083.052316178597
10037,2020,9,1,36632.91088780653
10037,2020,12,1,32616.526280450067
10037,2021,1,1,51673.13894925141
10037,2021,2,1,38259.19171156951
10037,2021,6,1,37294.844613696936
10037,2021,9,1,48222.163939965656
10037,2021,12,1,31418.749325369572
10038,2020,1,1,30488.131820094484
10038,2020,7,2,62320.851944136826
10038,2020,8,1,28803.01350006303
10038,2021,1,1,51995.63048716492
10038,2021,5,1,59912.33600418646
10038,2021,6,1,58162.734757532555
10038,2021,12,1,52313.78754183723
10039,2020,6,1,28285.526805907015
10039,2020,7,1,28658.010030252495
