ProdID,Year,Month,count,sum
10,2020,1,108,4830044.980645467
10,2020,2,85,3745747.0896158833
10,2020,3,109,4792826.624078203
10,2020,4,90,4101381.862246643
10,2020,5,96,4388514.428982562
10,2020,6,119,5146928.581216592
10,2020,7,325,14548000.20379765
10,2020,8,312,13639004.650474684
10,2020,9,286,12911711.309086949
10,2020,10,361,15924783.984135076
10,2020,11,348,15194043.883818131
10,2020,12,351,15683545.135251962
10,2021,1,421,18779371.069073983
10,2021,2,396,17834570.224954464
10,2021,3,432,19068555.477165066
10,2021,4,38,1765696.9087765517
10,2021,5,31,1214501.7180377608
10,2021,6,33,1261959.3707382167
10,2021,7,32,1567671.6857354485
10,2021,8,29,1401421.8844630362
10,2021,9,33,1509471.7008514288
10,2021,10,44,1980116.8676067844
10,2021,11,33,1606170.553842516
10,2021,12,37,1696638.6722833647
20,2020,1,31,1553034.234876517
20,2020,2,20,944600.2759953823
20,2020,3,28,1165707.5535731008
20,2020,4,35,1430025.0899565516
20,2020,5,26,1248898.9099181355
20,2020,6,26,1057889.6496271994
20,2020,7,77,3539373.603903527
20,2020,8,77,3190055.7563036196
20,2020,9,77,3328428.7343128086
20,2020,10,98,4411617.812664787
20,2020,11,76,3299857.2811080124
20,2020,12,105,5063244.728735028
20,2021,1,157,6877745.635314186
20,2021,2,147,6670405.470296125
20,2021,3,143,6181024.990415789
20,2021,4,413,18141235.082540855
20,2021,5,508,22313609.605438706
20,2021,6,469,21638679.2479683
20,2021,7,484,21947436.216775652
20,2021,8,450,19800623.652300175
20,2021,9,464,20477808.898938358
20,2021,10,411,18577164.4555639
20,2021,11,459,20063871.78134275
20,2021,12,435,18844130.358426325
30,2020,1,8,361380.72309452185
30,2020,2,2,65859.32710789055
30,2020,3,9,417101.55376511894
30,2020,4,2,106272.8917294863
30,2020,5,4,191635.0726534039
30,2020,6,2,83209.66366102529
30,2020,7,17,761447.3415750221
30,2020,8,13,642972.1799299493
30,2020,9,16,765995.2568037668
30,2020,10,22,997790.3641970608
30,2020,11,14,638273.795084786
30,2020,12,25,1208929.7836831526
30,2021,1,19,710085.6985071148
30,2021,2,19,953769.5420198229
30,2021,3,16,767012.3767444058
30,2021,4,3,145205.52653828549
30,2021,5,2,81291.68377235527
30,2021,6,3,156826.10792108483
30,2021,7,4,144108.5254327486
30,2021,8,2,83600.13017188576
30,2021,9,2,143100.53494982008
30,2021,10,144,6389231.014402769
30,2021,11,145,6624628.071693461
30,2021,12,142,6412391.915698837
