title,url
"""발음마다 뜻이 달라지는데?""…갤럭시 AI의 16개 언어 통역 비결",https://www.newsis.com/view/NISX20240625_0002785368
"""애플, 오픈AI 이어 메타와 인공지능 협력 논의""",http://www.edaily.co.kr/news/newspath.asp?newsid=01436646638925000
"인공지능 주목하는 레노버, AI 혁신 위한 MOU 체결",https://sports.khan.co.kr/news/sk_index.html?art_id=202406251104003&sec_id=561101&pt=nv
"국제표준 산업 인공지능 인증서, 국내에서 발급 가능",http://www.inews24.com/view/np/1734225
인공지능으로 농산물 원산지 가려낸다,https://www.nongmin.com/article/20240625500021
"이글루코퍼레이션, KISA ‘AI 보안관제 전문인력 양성 사업’ 수행",https://www.etoday.co.kr/news/view/2373359
[여현덕의 AI Thinking] 더욱 가까워지는 인간과 반려동물… 그 연결고리는 인...,https://www.kmib.co.kr/article/view.asp?arcid=1719123390&code=11171466&cp=nv
'K-주소체계' 전문가들 모여 인공지능 시대 주소 체계 전망 토의,https://www.news1.kr/articles/5456866
"충남교육청, 우즈베키스탄에 인공지능 교육 모델 전수",http://www.jbnews.com/news/articleView.html?idxno=1441277
SK 사업전략 'BBC 아닌 ABC?'…리밸런싱으로 인공지능 강화,https://view.asiae.co.kr/article/2024062409382282654
"""발음마다 뜻이 달라지는데?""…갤럭시 AI의 16개 언어 통역 비결",https://www.newsis.com/view/NISX20240625_0002785368
"""애플, 오픈AI 이어 메타와 인공지능 협력 논의""",http://www.edaily.co.kr/news/newspath.asp?newsid=01436646638925000
"인공지능 주목하는 레노버, AI 혁신 위한 MOU 체결",https://sports.khan.co.kr/news/sk_index.html?art_id=202406251104003&sec_id=561101&pt=nv
"국제표준 산업 인공지능 인증서, 국내에서 발급 가능",http://www.inews24.com/view/np/1734225
인공지능으로 농산물 원산지 가려낸다,https://www.nongmin.com/article/20240625500021
"이글루코퍼레이션, KISA ‘AI 보안관제 전문인력 양성 사업’ 수행",https://www.etoday.co.kr/news/view/2373359
[여현덕의 AI Thinking] 더욱 가까워지는 인간과 반려동물… 그 연결고리는 인...,https://www.kmib.co.kr/article/view.asp?arcid=1719123390&code=11171466&cp=nv
'K-주소체계' 전문가들 모여 인공지능 시대 주소 체계 전망 토의,https://www.news1.kr/articles/5456866
"충남교육청, 우즈베키스탄에 인공지능 교육 모델 전수",http://www.jbnews.com/news/articleView.html?idxno=1441277
SK 사업전략 'BBC 아닌 ABC?'…리밸런싱으로 인공지능 강화,https://view.asiae.co.kr/article/2024062409382282654
"군, 인공지능으로 국방규격 품질관리 시작",https://www.newsis.com/view/NISX20240624_0002783807
[여현덕의 AI Thinking] 더욱 가까워지는 인간과 반려동물… 그 연결고리는 인...,https://www.kmib.co.kr/article/view.asp?arcid=1719123390&code=11171466&cp=nv
"“LG전자, AI 생태계 확대 기대…하반기 엑사원과 시너지”",https://www.etoday.co.kr/news/view/2373212
